categoria,categoria_codigo,division,grupo,clase,subclase_codigo,subclase,nota
industria manufacturera,E,fabricacion de sustancias y productos quimicos,fabricacion de fibras manufacturadas,fabricacion de fibras manufacturadas,24300,fabricacion de fibras manufacturadas,"La fabricación de fibras sintéticas elaboradas a partir de polímeros sintético que provienen de etileno, propileno, poliesteres, poliamidas, loiuretano, obteniéndose, básicamente fibras como el orlón, dácron, poliésteres, nylon, polipropileno, desechos de"
industria manufacturera,E,fabricacion de productos de caucho y plastico,fabricacion de productos de caucho,fabricacion de cubiertas y camaras de caucho; recauchutado y renovacion de cubiertas de caucho,25110,fabricacion de cubiertas y camaras de caucho; recauchutado y renovacion de cubiertas de caucho,"La fabricación de llantas y neumáticos de caucho par todo tipo de vehículos,incluidas la llantas y neumáticos para equipo o maquinaria móvil. Cubiertas neumáticas y cubiertas sólidas o mullidas. La fabricación de cámaras de aire para   neumáticos. la fabr"
industria manufacturera,E,fabricacion de productos de caucho y plastico,fabricacion de productos de caucho,fabricacion de otros productos de caucho,25190,fabricacion de otros productos de caucho,"La fabricación de otros productos de caucho natural, sintético o regenerado sin vulcanizar, vulcanizados o endurecido: planchas, hojas, bandas, varillas, perfiles,  tubos, conductos y mangueras. Artículos de caucho para usos farmacéuticos.  Prendas de ves"
industria manufacturera,E,fabricacion de productos de caucho y plastico,fabricacion de productos de plastico,fabricacion de productos de plastico,25201,fabricacion de envases plasticos,"La fabricación de artículos de envases y embalaje de materias plásticas: bolsas, sacos, cajas, cajones, bidones, botellas, etc. Esta subclase no incluye: La fabricación de artículos de viajes de plásticos (véase 1912). La fabricación de artículos de cauch"
industria manufacturera,E,fabricacion de productos de caucho y plastico,fabricacion de productos de plastico,fabricacion de productos de plastico,25209,fabricacion de productos plasticos en formas basicas y articulos de plastico ncp,"La fabricación de productos de materias plásticas tales como: placas, planchas, tubos, conductos, y mangueras de plástico, placas, planchas, tubos, conductos, y mangueras de plástico, accesorios para tuberías, etc. La fabricación de productos de materias "
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de vidrio y productos de vidrio,fabricacion de vidrio y productos de vidrio,26101,fabricacion de envases de vidrio,"Fabricación de botellas y otros recipientes y envolturas, de vidrio o de cristal. Esta subclase no incluye: La fabricación de material medico de laboratorio, incluso jeringas (véase 3311). La fabricación de juguetes de vidrio (véase 3694)."
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de vidrio y productos de vidrio,fabricacion de vidrio y productos de vidrio,26102,fabricacion de vidrio,"La fabricación de vidrio plano endurecido o laminado,   espejos de vidrio. La fabricación de aisladores de vidrio  de varias capas, vidrios de seguridad.  Esta subclase no incluye: La fabricación parabrisas (véase 3430)"
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de vidrio y productos de vidrio,fabricacion de vidrio y productos de vidrio,26109,fabricacion de productos de vidrio ncp,"La fabricación de vasos y otros artículos para el hogar,  de vidrio o de cristales, objetos de vitrocerámica de mesa y cocina. La fabricación de fibras de vidrio, incluida la lana  de vidrio y artículos sin tejer de estas fibras, vidrio para laboratorio, "
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de productos minerales no metalicos ncp,fabricacion de productos de ceramica no refractaria para uso no estructural,26911,fabricacion de articulos de ceramica de uso domestico sanitario y ornamental,"La fabricación de artículos de porcelana, loza, piedra o arcilla  o de alfarería común. La fabricación de vajillas y otros artículos  loza, cerámica o porcelana de uso domestico o de tocador. La fabricación de estatuillas y otros artículos cerámicos de  o"
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de productos minerales no metalicos ncp,fabricacion de productos de ceramica no refractaria para uso no estructural,26912,fabricacion de otros articulos de ceramica no refractaria para uso no estructural,"La fabricación de aisladores eléctricos y piezas aislantes de material cerámico, productos de cerámico para usos de laboratorio químicos e industriales. La fabricación de tarros y otras vasijas similares del tipo empleado para el transporte y como recipie"
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de productos minerales no metalicos ncp,fabricacion de productos de ceramica refractaria,26920,fabricacion  de productos de ceramica refractaria,"La fabricación de ladrillos, bloques, losetas, y otros  artículos similares de cerámica refractaria para la construcción  La fabricación de productos de cerámica resistentes  a elevadas temperaturas, para la industria metalúrgica, química, etc. La fabrica"
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de productos minerales no metalicos ncp,fabricacion de productos de arcilla y ceramica no refractarias para uso estructural,26930,fabricacion de productos de arcilla y ceramica no refractarias para uso estructural,"La fabricación de azulejos y baldosas de cerámica, lozas para pavimentación o revestimiento, mosaicos, etc., no  refractario. La fabricación de baldosas y adoquines no refractario, ladrillos, tejas y productos de tierras cocidas para la construcción La fa"
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de productos minerales no metalicos ncp,"fabricacion de cemento, cal y yeso",26941,fabricacion de cemento,"La fabricación de cementos hidráulicos, incluidos el portland, aluminoso y otros tipos de cemento. Esta subclase no incluye: La fabricación de cementos dentales (véase 2423). La fabricación de cementos refractario (véase 2692). La fabricación de  artículo"
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de productos minerales no metalicos ncp,"fabricacion de cemento, cal y yeso",26942,fabricacion de cal y yeso,"La fabricación de cal viva, cal apagada y cal hidráulica. La fabricación de yesos con yeso calcinado y con sulfatos de  calcio. Esta subclase no incluye: La extracción de yeso (véase 14101)."
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de productos minerales no metalicos ncp,"fabricacion de articulos de hormigon, cemento y yeso",26950,fabricacion de articulos de hormigon cemento y  yeso,"La fabricación de artículos de hormigón, cemento yeso  utilizados en la construcción, baldosas, ladrillos, planchas, panelas, tuberías, postes, etc. La fabricación de elementos estructurales prefabricados para la construcción de hormigón, cemento, o piedr"
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de productos minerales no metalicos ncp,"corte, tallado y acabado de la piedra",26960,corte tallado y acabado de la piedra,"Aserrado, cortado, tallado y acabado de la piedra para su empleo en la construcción, cementerios, carreteras, muebles de piedra y otros usos. Esta clase no incluye:  La extracción de piedra en bruto sin desbastar (véase 1410)  La producción de muelas de m"
industria manufacturera,E,fabricacion de otros productos minerales no metalicos,fabricacion de productos minerales no metalicos ncp,fabricacion de otros productos minerales no metalicos ncp,26990,fabricacion de otros productos minerales no metalicos ncp,"La fabricación de hilares y telas, prendas de vestir, calzado, corras, cuerdas, cordones, papel, fieltro, etc., de amianto y de otros minerales no metálicos. La fabricación de materiales de fricción sobre una base de asbesto, de otras sustancias minerales"
industria manufacturera,E,fabricacion de metales comunes,industrias basicas de hierro y acero,industrias basicas de hierro y acero,27100,industrias basicas de hierro y acero,"El funcionamiento de altos hornos, convertidores de acero, talleres de laminado y de acabado. La producción de lingotes de hierro y acero a partir de la reducción de minerales o de chatarra. La producción de lingotes para fundición y para afino. La produc"
industria manufacturera,E,fabricacion de metales comunes,fabricacion de productos primarios de metales preciosos y metales no ferrosos,fabricacion de productos primarios de metales preciosos y metales no ferrosos,27201,produccion de metales comunes no ferrosos en formas primarias,"La producción de metales comunes no ferrosos utilizando mineral en bruto, mineral en mata, otras materias primas intermedias  entre el mineral en bruto y el metal (por ejemplo, alúmina) y chatarra. Las operaciones realizadas por talleres de fundición, de "
industria manufacturera,E,fabricacion de metales comunes,fabricacion de productos primarios de metales preciosos y metales no ferrosos,fabricacion de productos primarios de metales preciosos y metales no ferrosos,27202,produccion de metales preciosos en formas primarias,"La fabricación de productos primarios de metales preciosos oro, plata y metales del grupo del platino. La refinación de dichos metales preciosos mediante procesos químico a fin  de eliminar impurezas intrínseca. La producción de metales preciosos labrados"
industria manufacturera,E,fabricacion de metales comunes,fundicion de metales,fundicion de hierro y acero,27310,fundicion de hierro y acero,"La fabricación de barras y perfiles de acero obtenidos por  estirado en frío, productos planos de acero laminado en rollo o en chapas, mediante el relaminado en frío de productos  laminados en caliente. La fabricación de perfile o chapas perfiladas  en fr"
industria manufacturera,E,fabricacion de metales comunes,fundicion de metales,fundicion de metales no ferrosos,27320,fundicion de metales no ferrosos,"La fundición de productos acabados o semiacabados de metales no ferrosos y de metales preciosos. La fundición de piezas de moldeo metálicas pesadas, La fundición de piezas de moldeo de metales preciosos."
industria manufacturera,E,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo","fabricacion de productos metalicos para uso estructural, tanques, depositos y generadores de vapor",fabricacion de productos metalicos para uso estructural,28110,fabricacion de productos metalicos para uso estructural,"La fabricación e estructuras y partes de estructuras metálicas, de acero,  hierro y productos similares, tales como puentes y secciones de puentes, columnas, vigas, andamiajes tubulares, armaduras, arcos, cabios, castilletes para bocas de pozos, la constr"
industria manufacturera,E,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo","fabricacion de productos metalicos para uso estructural, tanques, depositos y generadores de vapor","fabricacion de tanques, depositos y recipientes de metal",28120,fabricacion de tanques depositos y recipientes de metal,"La fabricación de recipientes de metal para gas comprimido o licuado,  de cualquier capacidad, son generalmente de formas cilíndricas, tubos o botellas, resistentes generalmente para resistir presiones altas. Otros constituidos por un depósito interior y "
industria manufacturera,E,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo","fabricacion de productos metalicos para uso estructural, tanques, depositos y generadores de vapor","fabricacion de generadores de vapor, excepto calderas de agua caliente para calefaccion central",28130,fabricacion de generadores de vapor excepto calderas de agua caliente para calefaccion central,"Fabricación de calderas generadores de vapor de agua y otros vapores que no sean calderas de agua, son calderas de una mediana y alta  potencia que permiten aumento de la presiones del orden de 2000 fibras. Esto implica que la fabricación garantice su res"
industria manufacturera,E,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo",fabricacion de otros productos elaborados de metal; actividades de servicios de trabajo de metal,"forja, prensado, estampado y laminado de metales; pulvimetalurgia",28910,forja prensado estampado y laminado de metales; pulvimetalurgia,"La fabricación de artículos metálicos, acabados o semiacabados,  mediante forja, prensado y estampado o laminado por medio de procesos en que se rodillos de compresión o de procesos de pulvimetalurgía, utilizando polvos de metal que se someten a tratamien"
industria manufacturera,E,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo",fabricacion de otros productos elaborados de metal; actividades de servicios de trabajo de metal,tratamiento y revestimiento de metales; obras de ingenieria mecanica en general realizadas a cambio de una retribucion o contrata,28920,tratamiento y revestimiento de metales; obras de ingenieria mecanica en general realizadas a cambio de una retribucion o contrata,"Las actividades de enchapado, pulimento, anodizado, coloración, cromado zincado, galvanizado, recromatizado, zulfatado, etc. Son procesos en los  que se deposita otro metal sobre la superficie metálica y mediante la aplicación de corriente eléctrica se le"
industria manufacturera,E,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo",fabricacion de otros productos elaborados de metal; actividades de servicios de trabajo de metal,"fabricacion de articulos de cuchilleria, herramientas de mano y articulos de ferreteria",28930,fabricacion de articulos de cuchilleria herramientas de mano y articulos de ferreteria,"Fabricación de artículos de cuchillería, navajas, máquinas afeitar, hojas de afeite, tijeras, utensilios de mesa y de cocina; herramientas de mano sin motor, del tipo utilizado en la agricultura, ganadería y silvicultura;  carpintería ensamblaje mecánico,"
industria manufacturera,E,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo",fabricacion de otros productos elaborados de metal; actividades de servicios de trabajo de metal,fabricacion de otros productos elaborados de metal ncp,28991,fabricacion de envases de productos metalicos,"La fabricación de recipientes utilizados para el envase o transporte de mercancías : barriles, tambores, bidones, tarros, cajas, etc., incluidos los de gran tamaño. Esta subclase no incluye: La fabricación de recipientes para el almacenamiento y la elabor"
industria manufacturera,E,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo",fabricacion de otros productos elaborados de metal; actividades de servicios de trabajo de metal,fabricacion de otros productos elaborados de metal ncp,28999,fabricacion de productos metalicos ncp,"Fabricación de sujetadores hechos de metal: clavos, remaches, tachuelas alfileres, grapas, arandelas y productos similares sin rosca, la  fabricación de pequeños artículos de metal para oficina, cajas de  caudales, cajas fuertes, pórticos y puertas de cám"
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso general,"fabricacion de motores y turbinas, excepto motores para aeronaves, vehiculos automotores y motocicletas",29110,fabricacion de motores y turbinas excepto motores para aeronaves vehiculos automotores y motocicletas,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas"
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso general,"fabricacion de bombas, compresores, grifos y valvulas",29120,fabricacion de bombas compresores grifos y valvulas,"Fabricación de grifos, llaves de paso, válvulas y accesorios similares metálicos para tubos, calderas, tanques, cubas y artefactos similares, incluso válvulas productoras de presión, válvulas reguladas  termostaticamente. La fabricación de bombas de aire "
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso general,"fabricacion de cojinetes, engranajes, trenes de engranajes y piezas de transmision",29130,fabricacion de cojinetes engranajes trenes de engranajes y piezas de transmision,"Fabricación de rodamientos de (bolas, rodillos, agujas) y de piezas de  los mismos. La fabricación de tipo mecánico de todo tipo de material, para la transmisión de fuerza motriz: árboles de levas, cigüeñales,  manivelas; árboles de transmisión, chumacera"
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso general,fabricacion de hornos; hogares y quemadores,29140,fabricacion de hornos; hogares y quemadores,"Fabricación de hogares y grande hornos no eléctrico para tostar, fundir y someter a tratamiento térmico metales, no metales y otros materiales. La fabricación de hogares y grandes hornos por inducción y dieléctico; equipo industrial y de laboratorio para "
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso general,fabricacion de equipo de elevacion y manipulacion,29150,fabricacion de equipo de elevacion y manipulacion,"Fabricación de máquinas para mover físicamente materiales, mercancías y persona, distintas de los vehículos de circulación por carretera. La fabricación, de elevadores, cabrias y cabrestantes; gatos, grúas de brazo móvil; grúas corrientes, grúas de cable;"
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso general,fabricacion de otros tipos de maquinaria de uso general,29190,fabricacion de otros tipos de maquinaria de uso general,"Fabricación de balanzas de uso doméstico y comercial, equipo de refrigeración o congelación de uso comercial, tales como vitrinas y máquinas expendedoras, equipo de refrigeración o congelación de uso comercial, maquinaria para empaquetar y envolver mercan"
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso especial,fabricacion de maquinaria agropecuaria y forestal,29210,fabricacion de maquinaria agropecuaria y forestal,Fabricación de maquinaria agropecuaria y forestal
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso especial,fabricacion de maquinas herramienta,29220,fabricacion  de maquinas herramienta,Fabricación  de máquinas herramienta
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso especial,fabricacion de maquinaria metalurgica,29230,fabricacion  de maquinaria metalurgica,Fabricación  de maquinaria metalúrgica
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso especial,fabricacion de maquinaria para la explotacion de minas y canteras y para obras de construccion,29240,fabricacion de maquinaria para la explotacion de minas y canteras y para obras de construccion,"Fabricación de maquinaria de elevación y manipulación diseñada  especialmente para uso en obras subterráneas, equipo para perforar e  hincar, destinados o no, a usos subterráneos, maquinaria para  tratamiento de minerales mediante: cribao, separación, tri"
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso especial,"fabricacion de maquinaria para la elaboracion de alimentos, bebidas y tabaco",29250,fabricacion de maquinaria para la elaboracion de alimentos bebidas y tabaco,"Fabricación de maquinaria utilizada en la industria lechera, máquinas para la industria de la molienda de granos, máquinas utilizadas en la  elaboración del vino, sidra, jugos de frutas y bebidas similares,  maquinaria y equipo especial para uso en panade"
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso especial,"fabricacion de maquinaria para la elaboracion de productos textiles, prendas de vestir y cueros",29260,fabricacion de maquinaria para la elaboracion de productos textiles prendas de vestir y cueros,"Fabricación de máquinas de preparación de fibras textiles, para la  hilatura, desengrasadoras, peinadoras, cardadoras, retorcedoras,  telares corrientes, devanadoras, urdidoras, telares corrientes, telares manuales; se incluye el mantenimiento y la repara"
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso especial,fabricacion de armas y municiones,29270,fabricacion de armas y municiones,Fabricación de armas y municiones
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de maquinaria de uso especial,fabricacion de otros tipos de maquinaria de uso especial,29290,fabricacion de otros tipos de maquinaria de uso  especial,"Fabricación de máquinas y equipos para la elaboración del caucho o del  plástico y para la fabricación de productos de los materiales,  fabricación de maquinaria para producir baldosas, ladrillos, pastas de cerámica moldeadas, tubos, electrodos de grafito"
industria manufacturera,E,fabricacion de maquinaria y equipo ncp,fabricacion de aparatos de uso domestico ncp,fabricacion de aparatos de uso domestico ncp,29300,fabricacion de aparatos de uso domestico ncp,"Fabricación de aparatos termoeléctricos de uso doméstico, tales como calentadoras de agua, calentadores de ambiente y ventiladores de uso  doméstico, aparatos de cocina, cocinillas eléctricas, planchas de  cocinar, resistencias para la calefacción eléctri"
industria manufacturera,E,"fabricacion de maquinaria de oficina, contabilidad e informatica","fabricacion de maquinaria de oficina, contabilidad e informatica","fabricacion de maquinaria de oficina, contabilidad e informatica",30000,fabricacion de maquinaria de oficina contabilidad e informatica,"Fabricación de maquinaria de oficina, contabilidad e informática"
industria manufacturera,E,fabricacion de maquinaria y aparatos electricos ncp,"fabricacion de motores, generadores y transformadores electricos","fabricacion de motores, generadores y transformadores electricos",31100,fabricacion de motores generadores y transformadores electricos,"Fabricación de motores, generadores y transformadores eléctricos"
industria manufacturera,E,fabricacion de maquinaria y aparatos electricos ncp,fabricacion de aparatos de distribucion y control de energia electrica,fabricacion de aparatos de distribucion y control de energia electrica,31200,fabricacion de aparatos de distribucion y control de energia electrica,"La fabricación de aparatos para aislar, proteger o concentrar circuitos eléctricos, como interruptores, conmutadores, fusibles, pararrayos, reguladores de tensión, supresores de picos de tensión, enchufes,  tomacorrientes, portalámparas, etc.; propios par"
industria manufacturera,E,fabricacion de maquinaria y aparatos electricos ncp,fabricacion de hilos y cables aislados,fabricacion de hilos y cables aislados,31300,fabricacion de hilos y cables aislados,"La fabricación de hilos y cables recubiertos de material aislante y otros conductores de electricidad aislados, estén provistos o no de  conectores. Esta clase no incluye  La fabricación de cables de metal no ferrosos sin material aislante  (véase 272012)"
industria manufacturera,E,fabricacion de maquinaria y aparatos electricos ncp,fabricacion de acumuladores y de pilas y baterias primarias,fabricacion de acumuladores y de pilas y baterias primarias,31400,fabricacion de acumuladores y de pilas y baterias primarias,Fabricación de acumuladores y de pilas y baterías primarias
industria manufacturera,E,fabricacion de maquinaria y aparatos electricos ncp,fabricacion de lamparas electricas y equipo de iluminacion,fabricacion de lamparas electricas y equipo de iluminacion,31500,fabricacion de lamparas electricas y equipo de iluminacion,"Fabricación de lámparas de mesa, escritorio, pie y otro equipo de  iluminación, incluso equipo no eléctrico, fabricación de avisos y carteles iluminados, y otros anuncios similares, partes para lámparas, pantallas. Esta clase no incluye: La fabricación  d"
industria manufacturera,E,fabricacion de maquinaria y aparatos electricos ncp,fabricacion de otros tipos de equipo electrico ncp,fabricacion de otros tipos de equipo electrico ncp,31900,fabricacion de otros tipos de equipo electrico ncp,"Fabricación de dispositivos eléctricos de encendido y arranque para  motores, artefactos eléctricos especiales de iluminación y señalización  utilizados en motocicletas y automóviles, faros, lámparas y aparatos accionados por electricidad para dar señales"
industria manufacturera,E,"fabricacion de equipo y aparatos de radio, television y comunicaciones","fabricacion de tubos, valvulas y de otros componentes electronicos","fabricacion de tubos, valvulas y de otros componentes electronicos",32100,fabricacion de tubos valvulas y de otros componentes electronicos,"Fabricación de tubos, válvulas y de otros componentes electrónicos"
industria manufacturera,E,"fabricacion de equipo y aparatos de radio, television y comunicaciones",fabricacion de transmisores de radio y television y de aparatos para telefonia y telegrafia con hilos,fabricacion de transmisores de radio y television y de aparatos para telefonia y telegrafia con hilos,32200,fabricacion  de transmisores de radio y television y de aparatos para telefonia y telegrafia con hilos,Fabricación  de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilos
industria manufacturera,E,"fabricacion de equipo y aparatos de radio, television y comunicaciones","fabricacion de receptores de radio y television, aparatos de grabacion y reproduccion de sonido y video y productos conexos","fabricacion de receptores de radio y television, aparatos de grabacion y reproduccion de sonido, video y productos conexos",32300,fabricacion de receptores de radio y television aparatos de grabacion y reproduccion de sonido video y productos conexos,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido, vídeo y productos conexos"
industria manufacturera,E,"fabricacion de instrumentos medicos, opticos y de precision y fabricacion de relojes","fabricacion de aparatos e instrumentos medicos y de aparatos para medir, verificar, ensayar, navegar y otros fines, excepto instrumentos de opticas",fabricacion de equipo medico y quirurgico y de aparatos ortopedicos,33110,fabricacion de equipo medico y quirurgico y de aparatos ortopedicos,"Fabricación de artículos y aparatos protésicos, muletas fajas, bragueros  quirúrgicos, corses, fajas medicoquirúrgicas; zapatos ortopédicos,  férulas y otros artículos y materiales para fracturas.  Fabricación de dientes postizos y otras partes artificial"
industria manufacturera,E,"fabricacion de instrumentos medicos, opticos y de precision y fabricacion de relojes","fabricacion de aparatos e instrumentos medicos y de aparatos para medir, verificar, ensayar, navegar y otros fines, excepto instrumentos de opticas","fabricacion de instrumentos y aparatos para medir, verificar, ensayar, navegar y otros fines, excepto el equipo de control de procesos industriales",33120,fabricacion de instrumentos y aparatos para medir verificar ensayar navegar y otros fines excepto el equipo de control de procesos industriales,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y otros fines, excepto el equipo de control de procesos industriales"
industria manufacturera,E,"fabricacion de instrumentos medicos, opticos y de precision y fabricacion de relojes","fabricacion de aparatos e instrumentos medicos y de aparatos para medir, verificar, ensayar, navegar y otros fines, excepto instrumentos de opticas",fabricacion de equipo de control de procesos industriales,33130,fabricacion de equipo de control de procesos industriales,Fabricación de equipo de control de procesos industriales
industria manufacturera,E,"fabricacion de instrumentos medicos, opticos y de precision y fabricacion de relojes",fabricacion de instrumentos de optica y equipo fotografico,fabricacion de instrumentos de optica y equipo fotografico,33200,fabricacion de instrumentos de optica y equipo fotografico,Fabricación de instrumentos de óptica y equipo fotográfico
industria manufacturera,E,"fabricacion de instrumentos medicos, opticos y de precision y fabricacion de relojes",fabricacion de relojes,fabricacion de relojes,33300,fabricacion de relojes,Fabricación de relojes
industria manufacturera,E,"fabricacion de vehiculos automotores, remolques y semirremolques",fabricacion de vehiculos automotores,fabricacion de vehiculos automotores,34100,fabricacion de vehiculos automotores,Fabricación de vehículos automotores
industria manufacturera,E,"fabricacion de vehiculos automotores, remolques y semirremolques",fabricacion de carrocerias para vehiculos automotores; fabricacion de remolques y semirremolques,fabricacion de carrocerias para vehiculos automotores; fabricacion de remolques y semirremolques,34200,fabricacion de carrocerias para vehiculos automotores; fabricacion de remolques y semirremolques,"Fabricación de carrocerías diseñadas para ser montadas sobre chasis  de vehículos automotores; carrocerías para vehículos sin chasis y carrocerías de monocasco; carrocerías para vehículos de transporte de personas, camiones y vehículos de uso especial; ca"
industria manufacturera,E,"fabricacion de vehiculos automotores, remolques y semirremolques","fabricacion de partes, piezas y accesorios para vehiculos automotores y sus motores","fabricacion de partes, piezas y accesorios para vehiculos automotores y sus motores",34300,fabricacion de partes piezas y accesorios para vehiculos automotores y sus motores,"Fabricación de partes, piezas y accesorios en todo tipo de material (madera, corcho, plástico, caucho, metal y/o combinaciones de estos y otros materiales ) para vehículos automotores , y sus motores, incluso para sus carrocerías, tales como frenos, cajas"
industria manufacturera,E,fabricacion de otros tipos de equipo de transporte,construccion y reparacion de buques y otras embarcaciones,construccion y reparacion de buques,35110,construccion y reparacion de buques,Construcción y reparación de buques
industria manufacturera,E,fabricacion de otros tipos de equipo de transporte,construccion y reparacion de buques y otras embarcaciones,construccion y reparacion de embarcaciones de recreo y deporte,35120,construccion y reparacion de embarcaciones de recreo y deporte,"La construcción y reparación embarcaciones o botes de remo o motor, canoas, etc. La construcción de embarcaciones de recreo equipadas con motor dentro o fuera de borda o impulsados por canaletes o remos"
industria manufacturera,E,fabricacion de otros tipos de equipo de transporte,fabricacion de locomotoras y de material rodante para ferrocarriles y tranvias,fabricacion de locomotoras y de material rodante para ferrocarriles y tranvias,35200,fabricacion de locomotoras y de material rodante para ferrocarriles y tranvias,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías
industria manufacturera,E,fabricacion de otros tipos de equipo de transporte,fabricacion de aeronaves y naves espaciales,fabricacion de aeronaves y naves espaciales,35300,fabricacion de aeronaves y naves espaciales,Fabricación de aeronaves y naves espaciales
industria manufacturera,E,fabricacion de otros tipos de equipo de transporte,fabricacion de otros tipos de equipo de transporte ncp,fabricacion de motocicletas,35910,fabricacion de motocicletas,La fabricación de aparatos y sus partes eléctricas para motocicletas  (véase 3190). Las fabricación de bicicletas o de sillones de ruedas  motorizados para discapacitados (véase 3592). El mantenimiento y la  reparación de motocicletas (véase 5040)
industria manufacturera,E,fabricacion de otros tipos de equipo de transporte,fabricacion de otros tipos de equipo de transporte ncp,fabricacion de bicicletas y de sillones de ruedas para invalidos,35920,fabricacion de bicicletas y de sillones de ruedas para invalidos,"La fabricación de aparatos no motorizados, velocípedos equipados con una o más ruedas, triciclos de reparto. Fabricación de sillones de ruedas para discapacitados, estén o no motorizados y sean o no propulsados por algún medio mecánico. También la fabrica"
industria manufacturera,E,fabricacion de otros tipos de equipo de transporte,fabricacion de otros tipos de equipo de transporte ncp,fabricacion de otros tipos de equipo de transporte ncp,35990,fabricacion de otros tipos de equipo de transporte ncp,"La fabricación de vehículos de propulsión manual: carretillas, carritos para equipaje, carritos para supermercados, carretoncillos, carros y portacargas de varios tipos, incluso los diseñados especialmente para  determinadas industrias, vehículos de tracc"
industria manufacturera,E,fabricacion de muebles; industrias manufactureras ncp,fabricacion de muebles y colchones,fabricacion de muebles y colchones,36101,fabricacion de muebles y partes de muebles principalmente de madera,"La fabricación de muebles de madera de todo tipo y para cualquier uso (hogar, oficina, teatro, iglesias, restaurantes, hospitales, aviones automóviles, etc.) y la fabricación de partes de muebles de madera. Esta clase no incluye: La fabricación de tablero"
industria manufacturera,E,fabricacion de muebles; industrias manufactureras ncp,fabricacion de muebles y colchones,fabricacion de muebles y colchones,36102,fabricacion de muebles y partes de muebles principalmente de metal,"La fabricación de muebles de metal de todo tipo y para cualquier uso (hogar, oficina, teatro, iglesias, restaurantes, hospitales, aviones, automóviles, etc.) y la fabricación de partes de muebles metálicos Esta subclase no incluye: La fabricación de muebl"
industria manufacturera,E,fabricacion de muebles; industrias manufactureras ncp,fabricacion de muebles y colchones,fabricacion de muebles y colchones,36103,fabricacion de muebles excepto los que son principalmente de madera y metalicos,"La fabricación de muebles de todo tipo, mimbre, bambú, plástico, cuero, vidrio, etc., iglesias, restaurantes, hospitales, aviones, automóviles, etc. y la fabricación de partes de muebles de estos materiales."
industria manufacturera,E,fabricacion de muebles; industrias manufactureras ncp,fabricacion de muebles y colchones,fabricacion de muebles y colchones,36104,fabricacion de somieres y colchones,"La fabricación de diferentes tipos de colchones y somier; colchones con muelles, colchones rellenos o provistos de cualquier material de sustentación; colchones de caucho celular y plástico, sin recubrimiento, etc. y la fabricación  de partes de colchones"
industria manufacturera,E,fabricacion de muebles; industrias manufactureras ncp,industrias manufactureras ncp,fabricacion de joyas y articulos conexos,36910,fabricacion de joyas y articulos conexos,"La fabricación de piedras de calidad industrial y de piedras preciosas y semipreciosas sintéticas y construidas.  Fabricación de joyas de metales preciosos, piedras preciosas o semipreciosas o de una  combinación de estos materiales; la fabricación de art"
